FHR,TOCO,SpO2,RespRate,Temp
150.5,7.0,96.0,18.0,24.600000381469727
150.5,8.5,96.0,18.0,24.600000381469727
151.0,8.5,96.0,18.0,24.600000381469727
151.25,7.5,96.0,18.0,24.600000381469727
151.25,9.5,96.5,18.0,24.600000381469727
150.25,8.5,97.0,18.0,24.600000381469727
150.25,10.5,96.5,18.0,24.600000381469727
150.25,12.0,96.0,18.0,24.600000381469727
148.75,11.0,96.0,18.0,24.600000381469727
148.75,11.5,96.0,18.0,24.600000381469727
149.5,13.5,96.0,18.0,24.600000381469727
147.75,12.0,96.0,18.0,24.600000381469727
147.75,13.0,96.5,18.0,24.600000381469727
147.25,12.0,97.0,18.0,24.600000381469727
147.25,13.5,97.0,18.0,24.600000381469727
146.5,15.0,97.0,18.0,24.600000381469727
146.5,15.0,97.0,18.0,24.600000381469727
146.5,15.0,97.0,18.0,24.600000381469727
145.75,14.5,97.0,18.0,24.600000381469727
146.0,15.0,97.0,18.0,24.600000381469727
146.0,15.5,97.0,18.0,24.600000381469727
147.0,15.0,97.0,18.0,24.600000381469727
147.0,15.5,97.0,18.0,24.600000381469727
147.0,15.0,97.0,18.0,24.600000381469727
146.5,12.0,97.0,18.0,24.600000381469727
146.5,13.5,97.0,18.0,24.600000381469727
146.5,12.5,97.0,18.0,24.600000381469727
146.5,14.0,97.0,18.0,24.600000381469727
146.5,15.0,97.0,18.0,24.600000381469727
146.25,13.5,97.0,18.0,24.600000381469727
146.25,13.5,97.0,18.0,24.600000381469727
146.25,13.0,97.0,18.0,24.600000381469727
147.0,14.5,97.0,18.0,24.600000381469727
147.0,14.0,97.0,18.0,24.600000381469727
145.5,13.5,97.0,18.0,24.600000381469727
147.0,14.0,97.0,18.0,24.600000381469727
147.0,13.5,96.5,18.0,24.600000381469727
147.25,13.5,96.0,18.0,24.600000381469727
147.25,15.0,96.0,18.0,24.600000381469727
146.5,17.5,96.0,18.0,24.600000381469727
146.5,19.5,96.0,18.0,24.600000381469727
146.5,15.0,96.0,18.0,24.600000381469727
146.5,17.0,96.0,18.0,24.600000381469727
146.5,18.0,96.0,18.0,24.600000381469727
146.25,17.0,96.0,18.0,24.600000381469727
146.25,18.0,96.0,18.0,24.600000381469727
146.25,14.5,96.5,18.0,24.600000381469727
146.5,13.5,97.0,18.0,24.600000381469727
147.75,13.5,97.0,18.0,24.600000381469727
147.75,15.5,97.0,18.0,24.600000381469727
146.0,15.5,97.0,18.0,24.600000381469727
146.0,13.5,97.0,18.0,24.600000381469727
147.25,12.0,97.5,18.0,24.600000381469727
147.5,11.5,98.0,18.0,24.600000381469727
147.5,10.5,98.0,18.0,24.600000381469727
147.75,10.0,98.0,18.0,24.600000381469727
147.75,9.0,98.0,18.0,24.600000381469727
147.0,9.0,98.0,18.0,24.600000381469727
147.5,9.0,98.0,18.0,24.600000381469727
147.5,8.5,98.0,18.0,24.600000381469727
147.0,8.0,98.0,18.0,24.600000381469727
147.25,8.0,98.0,18.0,24.600000381469727
147.25,7.5,98.0,18.0,24.600000381469727
146.75,7.5,98.0,18.0,24.600000381469727
146.75,7.0,98.0,18.0,24.600000381469727
146.75,7.0,98.0,18.0,24.600000381469727
146.25,7.0,98.0,18.0,24.600000381469727
146.25,6.5,98.0,18.0,24.600000381469727
146.75,5.5,97.5,18.0,24.600000381469727
146.75,6.5,97.0,18.0,24.600000381469727
147.0,6.5,97.0,18.0,24.600000381469727
147.0,6.5,97.0,18.0,24.600000381469727
148.25,7.5,97.0,18.0,24.600000381469727
147.5,7.5,97.0,18.0,24.600000381469727
147.5,7.0,97.0,18.0,24.600000381469727
147.0,6.5,97.0,18.0,24.600000381469727
147.0,7.0,97.0,18.0,24.600000381469727
147.0,7.0,97.0,18.0,24.600000381469727
146.5,7.0,97.0,18.0,24.600000381469727
146.5,6.5,97.0,18.0,24.600000381469727
145.75,6.5,97.0,18.0,24.600000381469727
145.25,6.0,97.0,18.0,24.600000381469727
145.25,7.0,97.0,18.0,24.600000381469727
144.75,7.5,97.0,18.0,24.600000381469727
144.75,6.0,97.0,18.0,24.600000381469727
144.75,6.5,97.0,18.0,24.600000381469727
144.75,6.0,97.0,18.0,24.600000381469727
144.75,6.0,97.0,18.0,24.600000381469727
145.0,6.5,97.0,18.0,24.600000381469727
145.0,7.5,97.0,18.0,24.600000381469727
145.0,8.0,97.0,18.0,24.600000381469727
144.75,8.0,97.0,18.0,24.600000381469727
144.75,7.0,97.0,18.0,24.600000381469727
143.25,7.0,97.0,18.0,24.600000381469727
143.25,7.0,97.0,18.0,24.600000381469727
142.5,7.0,97.0,18.0,24.600000381469727
142.5,7.0,97.0,18.0,24.600000381469727
143.25,8.0,97.0,18.0,24.600000381469727
143.0,10.0,97.0,18.0,24.600000381469727
143.0,10.0,97.0,18.0,24.600000381469727
142.75,10.0,97.0,18.0,24.600000381469727
142.75,9.5,97.0,18.0,24.600000381469727
142.75,12.5,97.0,18.0,24.600000381469727
141.75,17.5,97.0,18.0,24.600000381469727
141.75,18.5,97.0,18.0,24.600000381469727
141.0,12.5,97.0,18.0,24.600000381469727
139.75,12.0,97.0,18.0,24.600000381469727
139.75,11.5,97.0,18.0,24.600000381469727
140.5,9.5,97.0,18.0,24.600000381469727
140.5,10.5,97.0,18.0,24.600000381469727
141.0,9.5,97.0,18.0,24.600000381469727
141.5,8.5,97.0,18.0,24.600000381469727
141.5,7.5,97.0,18.0,24.600000381469727
141.5,7.0,97.0,18.0,24.600000381469727
141.5,7.5,97.0,18.0,24.600000381469727
140.75,7.0,97.0,18.0,24.600000381469727
141.5,4.0,97.0,18.0,24.600000381469727
141.5,3.5,97.0,18.0,24.600000381469727
141.25,3.0,97.0,18.0,24.600000381469727
141.25,2.5,97.0,18.0,24.600000381469727
140.0,2.5,97.0,18.0,24.600000381469727
140.0,2.5,97.0,18.0,24.600000381469727
140.5,2.0,97.0,18.0,24.600000381469727
139.75,2.5,97.0,18.0,24.600000381469727
139.75,3.0,97.0,18.0,24.600000381469727
140.0,3.0,97.0,18.0,24.600000381469727
140.0,2.0,97.0,18.0,24.600000381469727
139.5,2.0,97.0,18.0,24.600000381469727
139.25,4.0,97.0,18.0,24.600000381469727
139.25,3.5,97.0,18.0,24.600000381469727
139.75,2.0,97.0,18.0,24.600000381469727
139.75,1.5,97.0,18.0,24.600000381469727
140.5,1.5,97.0,18.0,24.600000381469727
140.5,1.5,97.0,18.0,24.600000381469727
140.75,1.5,97.0,18.0,24.600000381469727
141.25,1.5,97.0,18.0,24.600000381469727
141.25,1.0,97.0,18.0,24.600000381469727
141.25,1.0,97.0,18.0,24.600000381469727
141.25,0.5,97.0,18.0,24.600000381469727
142.25,0.5,97.0,18.0,24.600000381469727
143.0,2.5,97.0,18.0,24.600000381469727
143.0,2.0,97.0,18.0,24.600000381469727
144.0,1.5,97.0,18.0,24.600000381469727
144.0,1.0,97.0,18.0,24.600000381469727
144.0,1.5,97.0,18.0,24.600000381469727
143.75,1.5,97.0,18.0,24.600000381469727
143.75,1.5,97.0,18.0,24.600000381469727
144.0,2.0,97.0,18.0,24.600000381469727
144.0,2.0,97.0,18.0,24.600000381469727
144.25,2.0,97.0,18.0,24.600000381469727
143.5,2.0,97.0,18.0,24.600000381469727
143.5,3.0,97.0,18.0,24.600000381469727
144.75,2.0,97.0,18.0,24.600000381469727
144.75,2.0,97.0,18.0,24.600000381469727
145.0,2.0,97.5,18.0,24.600000381469727
145.75,2.0,98.0,18.0,24.600000381469727
145.75,2.0,98.0,18.0,24.600000381469727
145.75,2.0,98.0,18.0,24.600000381469727
145.75,1.5,98.0,18.0,24.600000381469727
145.5,2.0,98.0,18.0,24.600000381469727
146.25,2.0,98.0,18.0,24.600000381469727
146.25,3.0,98.0,18.0,24.600000381469727
145.0,4.0,98.0,18.0,24.600000381469727
144.25,4.5,98.0,18.0,24.600000381469727
144.25,4.5,97.5,18.0,24.600000381469727
143.25,3.0,97.0,18.0,24.600000381469727
143.25,3.5,97.5,18.0,24.600000381469727
143.0,4.0,98.0,18.0,24.600000381469727
143.0,3.5,98.0,18.0,24.600000381469727
141.75,3.5,98.0,18.0,24.600000381469727
141.75,3.5,98.0,18.0,24.600000381469727
141.75,3.5,98.0,18.0,24.600000381469727
140.75,2.5,98.0,18.0,24.600000381469727
140.75,1.5,98.0,18.0,24.600000381469727
141.0,3.0,97.5,18.0,24.600000381469727
141.75,4.5,97.0,18.0,24.600000381469727
141.75,3.5,97.0,18.0,24.600000381469727
140.0,2.5,97.0,18.0,24.600000381469727
140.0,1.5,97.0,18.0,24.600000381469727
140.5,1.5,97.0,18.0,24.600000381469727
140.5,1.5,97.0,18.0,24.600000381469727
140.75,1.5,97.0,18.0,24.600000381469727
142.0,1.5,97.0,18.0,24.600000381469727
142.0,1.5,97.0,18.0,24.600000381469727
142.0,3.0,97.0,18.0,24.600000381469727
